id,cid,mcc,mnc,technology,area,psc,measurements,latitude,longitude,last_update,created_at,source
"517066634,726398,240,07,""HSPA,HSPA+"",11,\N,81,66.2781215974,23.705817277,2018-04-28,2018-04-28,openbmap"
517066635,726401,240,07,HSPA,11,\N,42,66.2886223321,23.6926971229,2018-04-28,2018-04-28,openbmap
517066636,726467,240,07,HSPA,11,\N,147,66.3296578245,23.6861662639,2018-04-28,2018-04-28,openbmap
517066638,726477,240,07,HSPA,11,\N,9,66.36348611,23.7213407033,2018-04-28,2018-04-28,openbmap
517066639,726482,240,07,HSPA,11,\N,9,66.41532669,23.69259751,2018-04-28,2018-04-28,openbmap
517066640,726497,240,07,HSPA,11,\N,24,66.4649512175,23.7067042463,2018-04-28,2018-04-28,openbmap
517066643,726501,240,07,HSPA,11,\N,12,66.4443365725,23.6829978525,2018-04-28,2018-04-28,openbmap
517066644,726548,240,07,HSPA,11,\N,21,66.5134557443,23.7824828871,2018-04-28,2018-04-28,openbmap
517071276,726548,240,24,EDGE,11,\N,3,66.51466229,23.78965858,2018-04-28,2018-04-28,openbmap
517071682,59923,240,24,EDGE,14600,\N,396,65.8950844536,24.1449421348,2017-04-17,2017-04-17,openbmap
517071683,59931,240,24,EDGE,14600,\N,156,66.1897958492,23.8059159304,2017-04-17,2017-04-17,openbmap
517071684,59932,240,24,EDGE,14600,\N,252,66.1553100295,23.9219008774,2017-04-17,2017-04-17,openbmap
"517071685,59951,240,24,""GSM,EDGE"",14600,\N,588,65.9449638943,24.1048106793,2017-04-17,2017-04-17,openbmap"
517071686,59952,240,24,EDGE,14600,\N,84,66.1372272957,23.9425867857,2017-04-17,2017-04-17,openbmap
517071687,59953,240,24,EDGE,14600,\N,738,66.1363074246,23.9324441875,2017-04-17,2017-04-17,openbmap
517071688,60001,240,24,EDGE,14600,\N,216,66.2208426261,23.784172085,2017-04-17,2017-04-17,openbmap
517071689,60002,240,24,EDGE,14600,\N,402,66.1651963521,23.8781396382,2017-04-17,2017-04-17,openbmap
517071690,60111,240,24,EDGE,14600,\N,348,65.8984525145,24.1421458828,2017-04-17,2017-04-17,openbmap
517071692,60491,240,24,EDGE,14600,\N,408,66.208884709,23.798746674,2017-04-17,2017-04-17,openbmap
517071693,60493,240,24,EDGE,14600,\N,519,66.3479190743,23.7073534563,2018-04-28,2017-04-17,openbmap
517071694,60581,240,24,EDGE,14600,\N,1140,66.5003477638,23.7670829046,2018-04-28,2017-04-17,openbmap
517071695,60601,240,24,EDGE,14600,\N,96,66.4405301325,23.6965804709,2018-04-28,2017-04-17,openbmap
517071697,60603,240,24,EDGE,14600,\N,114,66.45714478,23.6999592111,2017-04-17,2017-04-17,openbmap
517071700,62711,240,24,EDGE,14600,\N,18,66.38270171,23.6944914233,2017-04-17,2017-04-17,openbmap
517071701,63872,240,24,EDGE,14600,\N,687,66.5146496673,23.7893389558,2018-04-28,2017-04-17,openbmap
517071702,65111,240,24,EDGE,14600,\N,426,65.8753839323,24.1613327389,2017-04-17,2017-04-17,openbmap
517071778,20443,240,24,EDGE,16300,\N,24,66.45814328,23.70102436,2017-04-17,2017-04-17,openbmap
517071779,35916,240,24,EDGE,16300,\N,504,66.47320799,23.7233737719,2017-04-17,2017-04-17,openbmap
517071780,37659,240,24,EDGE,16300,\N,48,65.875413395,24.160894205,2017-04-17,2017-04-17,openbmap
517072081,2200,240,24,EDGE,9102,\N,306,66.2544491947,23.7367370325,2018-04-28,2018-04-28,openbmap
517072082,2207,240,24,EDGE,9102,\N,36,66.4916942583,23.7390107483,2018-04-28,2018-04-28,openbmap
517072083,2755,240,24,EDGE,9102,\N,36,65.87707876,24.1578546933,2017-04-17,2017-04-17,openbmap
517072084,2756,240,24,EDGE,9102,\N,96,65.8799578588,24.15437241,2017-04-17,2017-04-17,openbmap
517072085,3235,240,24,EDGE,9102,\N,312,65.8708935719,24.1652242669,2017-04-17,2017-04-17,openbmap
"517080328,4298,244,05,""GSM,EDGE"",1098,\N,240,66.7914305425,23.9837609188,2017-04-17,2017-04-17,openbmap"
517080330,4458,244,05,EDGE,1098,\N,1170,66.5688021231,23.8732966209,2017-04-17,2016-08-24,openbmap
517080334,5479,244,05,EDGE,1098,\N,408,67.7518956234,23.6147276569,2016-08-30,2016-08-24,openbmap
517080335,5898,244,05,EDGE,1098,\N,48,66.76212413,23.95382035,2017-04-17,2017-04-17,openbmap
517080336,7228,244,05,EDGE,1098,\N,6,66.54136,23.84770459,2016-08-24,2016-08-24,openbmap
517080337,7444,244,05,EDGE,1098,\N,774,67.9263395625,23.8269230642,2017-04-17,2017-04-17,openbmap
517080338,35066,244,05,GSM,13300,\N,9,61.7982308889,29.3282468,2009-06-29,2009-06-27,openbmap
517080339,37683,244,05,GSM,13300,\N,2,61.7878518,29.3417503,2009-06-29,2009-06-27,openbmap
517080340,39036,244,05,GSM,13300,\N,3,61.7857228667,29.3401205,2009-06-29,2009-06-29,openbmap
517080341,4870,244,05,GSM,13300,\N,5,61.77361606,29.3469836,2009-06-29,2009-06-27,openbmap
