Postcode,Activity
100,-0.150362837
102,-1.646428571
120,-0.251366412
130,-0.288471253
140,0.017610324
150,0.1192327
160,-0.015195141
170,-0.872350589
180,-0.202658722
190,0.571290351
200,-0.084964216
210,-0.015943517
220,-0.139333867
230,-0.106254233
240,-0.493555471
250,-0.137145933
260,-0.459496039
270,-0.632401875
280,-0.62957497
290,-0.190376677
300,-0.216062967
310,0.072448543
320,-0.369697357
330,-0.117873432
340,0.019649028
350,-0.465840772
360,-0.639238464
370,-0.314277952
380,-0.245390774
390,-0.347188503
400,-0.128393278
410,-0.222533359
420,0.022632611
430,-0.012499269
440,-0.211476987
500,-0.273159145
510,-0.082078179
520,-0.940166136
530,-0.251260034
540,-0.006858767
550,-0.668952671
560,-0.045423565
570,0.006665912
580,-0.272037529
590,-0.016230779
600,0.336797066
610,-0.321279002
620,-0.31884717
630,0.043410053
640,-0.049910947
650,0.031962865
660,0.056206892
670,-0.145741879
680,-0.003398742
690,0.175057629
700,-0.078130885
710,-0.334168895
720,-0.447201002
730,0.135137269
740,0.083543904
750,0.051748885
760,-0.082179913
770,-0.183317617
780,0.06554878
790,-0.363656867
800,-0.046084676
810,-0.148536583
820,0.042135296
830,0.213658631
840,-0.160688194
850,0.334130575
860,0.242027286
870,-0.188524313
880,-0.182948091
890,0.314544517
900,-0.052938944
910,-0.030569461
920,-0.068015431
930,-0.200859668
940,-0.27631141
950,-0.244288531
960,-0.047586593
970,-0.152369953
980,-0.400505888
990,-0.029672683
1120,0.658180074
1150,0.118700735
1180,0.802253756
1190,0.240191303
1200,0.125705507
1230,-0.139442231
1260,0.043843216
1280,-0.240422474
1300,-0.680240108
1340,0.14089422
1350,-0.400115971
1360,0.269279444
1370,0.28862485
1380,-0.061096008
1390,0.022227673
1400,-0.336439188
1420,0.298483559
1450,-0.059394417
1480,0.332884364
1490,-0.305397601
1510,-0.338404965
1520,0.075102121
1530,0.016217214
1600,-0.067394044
1610,-0.205801964
1620,-0.124264354
1630,-0.29756252
1640,-0.164048921
1650,-0.321433631
1660,-0.66392741
1670,-0.063862737
1680,0.201993865
1690,-0.522313399
1700,0.035011962
1710,0.026027109
1720,0.009547869
1730,0.055010468
1740,-0.326271872
1750,0.229016033
1760,0.09348732
1770,-2.890942699
1800,-0.010068246
1820,-0.309291208
1830,0.075977034
1840,-0.201065308
1860,-0.055418339
1900,0.040761035
1940,0.184688007
2100,-0.513912696
2110,0.041925334
2120,-0.339434868
2130,-0.007490577
2140,-0.351614173
2150,-0.661446698
2160,-0.099177801
2170,-0.057554892
2180,-0.056594474
2200,-0.088392533
2210,0.016506104
2230,0.04797306
2240,-0.338429787
2250,0.122588278
2260,-0.395102949
2270,-0.129171969
2280,-0.371330634
2300,-0.300925926
2320,-0.49766025
2330,0.116185522
2340,0.048803104
2360,-0.127497699
2380,0.295613383
2390,0.089838832
2400,-0.266802756
2410,-0.247795824
2420,0.49327848
2430,-0.457612586
2440,-0.302681992
2450,0.287406724
2460,0.266966251
2470,0.49789877
2480,0.273099555
2490,0.391684435
2510,0.053699284
2520,0.190506942
2540,0.207011686
2550,0.162815638
2570,0.433423835
2580,0.171602037
2590,-0.626588465
2600,-0.28362103
2610,0.191739892
2620,-0.99994017
2630,-0.06051372
2650,0.182897957
2660,0.04154577
2680,0.236040785
2700,-0.413338668
2710,0.167650318
2720,-0.266755241
2730,0.101683134
2740,0.03342916
2750,-0.185359927
2760,-0.933614988
2770,-0.332255998
2780,0.289828304
2820,0.089007296
2860,0.306281965
2880,0.011850419
2920,-0.130723714
2940,-0.230439893
2970,0.112092408
2980,0.262905436
3100,-0.149575996
3150,-0.220938866
3220,0.436084271
3250,0.366052719
3300,0.252561051
3400,0.368989976
3430,0.164601499
3600,0.329734202
3620,0.209049944
3710,0.537037037
3790,0.525381904
3810,0.379554656
3850,0.414738277
3870,0.295552087
4130,0.111326681
4170,-0.134106786
