Postcode,Activity
Postcode100,-0.150362837
Postcode102,-1.646428571
Postcode120,-0.251366412
Postcode130,-0.288471253
Postcode140,0.017610324
Postcode150,0.1192327
Postcode160,-0.015195141
Postcode170,-0.872350589
Postcode180,-0.202658722
Postcode190,0.571290351
Postcode200,-0.084964216
Postcode210,-0.015943517
Postcode220,-0.139333867
Postcode230,-0.106254233
Postcode240,-0.493555471
Postcode250,-0.137145933
Postcode260,-0.459496039
Postcode270,-0.632401875
Postcode280,-0.62957497
Postcode290,-0.190376677
Postcode300,-0.216062967
Postcode310,0.072448543
Postcode320,-0.369697357
Postcode330,-0.117873432
Postcode340,0.019649028
Postcode350,-0.465840772
Postcode360,-0.639238464
Postcode370,-0.314277952
Postcode380,-0.245390774
Postcode390,-0.347188503
Postcode400,-0.128393278
Postcode410,-0.222533359
Postcode420,0.022632611
Postcode430,-0.012499269
Postcode440,-0.211476987
Postcode500,-0.273159145
Postcode510,-0.082078179
Postcode520,-0.940166136
Postcode530,-0.251260034
Postcode540,-0.006858767
Postcode550,-0.668952671
Postcode560,-0.045423565
Postcode570,0.006665912
Postcode580,-0.272037529
Postcode590,-0.016230779
Postcode600,0.336797066
Postcode610,-0.321279002
Postcode620,-0.31884717
Postcode630,0.043410053
Postcode640,-0.049910947
Postcode650,0.031962865
Postcode660,0.056206892
Postcode670,-0.145741879
Postcode680,-0.003398742
Postcode690,0.175057629
Postcode700,-0.078130885
Postcode710,-0.334168895
Postcode720,-0.447201002
Postcode730,0.135137269
Postcode740,0.083543904
Postcode750,0.051748885
Postcode760,-0.082179913
Postcode770,-0.183317617
Postcode780,0.06554878
Postcode790,-0.363656867
Postcode800,-0.046084676
Postcode810,-0.148536583
Postcode820,0.042135296
Postcode830,0.213658631
Postcode840,-0.160688194
Postcode850,0.334130575
Postcode860,0.242027286
Postcode870,-0.188524313
Postcode880,-0.182948091
Postcode890,0.314544517
Postcode900,-0.052938944
Postcode910,-0.030569461
Postcode920,-0.068015431
Postcode930,-0.200859668
Postcode940,-0.27631141
Postcode950,-0.244288531
Postcode960,-0.047586593
Postcode970,-0.152369953
Postcode980,-0.400505888
Postcode990,-0.029672683
Postcode1120,0.658180074
Postcode1150,0.118700735
Postcode1180,0.802253756
Postcode1190,0.240191303
Postcode1200,0.125705507
Postcode1230,-0.139442231
Postcode1260,0.043843216
Postcode1280,-0.240422474
Postcode1300,-0.680240108
Postcode1340,0.14089422
Postcode1350,-0.400115971
Postcode1360,0.269279444
Postcode1370,0.28862485
Postcode1380,-0.061096008
Postcode1390,0.022227673
Postcode1400,-0.336439188
Postcode1420,0.298483559
Postcode1450,-0.059394417
Postcode1480,0.332884364
Postcode1490,-0.305397601
Postcode1510,-0.338404965
Postcode1520,0.075102121
Postcode1530,0.016217214
Postcode1600,-0.067394044
Postcode1610,-0.205801964
Postcode1620,-0.124264354
Postcode1630,-0.29756252
Postcode1640,-0.164048921
Postcode1650,-0.321433631
Postcode1660,-0.66392741
Postcode1670,-0.063862737
Postcode1680,0.201993865
Postcode1690,-0.522313399
Postcode1700,0.035011962
Postcode1710,0.026027109
Postcode1720,0.009547869
Postcode1730,0.055010468
Postcode1740,-0.326271872
Postcode1750,0.229016033
Postcode1760,0.09348732
Postcode1770,-2.890942699
Postcode1800,-0.010068246
Postcode1820,-0.309291208
Postcode1830,0.075977034
Postcode1840,-0.201065308
Postcode1860,-0.055418339
Postcode1900,0.040761035
Postcode1940,0.184688007
Postcode2100,-0.513912696
Postcode2110,0.041925334
Postcode2120,-0.339434868
Postcode2130,-0.007490577
Postcode2140,-0.351614173
