technology,latitude,longitude
GSM,60.1582,24.6920415
GSM,60.165494333,24.927386167
GSM,60.166684833,24.7605625
GSM,60.166684833,24.7605625
GSM,60.2191424167,24.4566221945
GSM,60.1609985,24.626531
GSM,60.2249905,24.423798167
GSM,60.2306792611,24.3998910166
GSM,60.1541734443,24.6700238332
GSM,60.1855186043,24.5922224584
GSM,60.1889094024,24.5812750057
GSM,60.2254728581,24.4179825494
GSM,60.2290654168,24.3919601667
GSM,60.1574238623,24.628879942
GSM,60.1931334792,24.5644049723
GSM,60.2023870152,24.5233411819
GSM,60.1828998334,24.6031922143
GSM,60.2256675,24.38675575
GSM,60.157173103,24.6310108909
GSM,60.2002474775,24.5339893469
GSM,60.1631295,24.6264378457
GSM,60.1729825334,24.60646336
GSM,60.1537880151,24.6634164847
GSM,60.2237491501,24.4338941459
GSM,60.2028291608,24.5226948453
GSM,60.1741300614,24.6149039999
GSM,60.1806025,24.6081761458
GSM,60.1887940418,24.5807503335
GSM,60.153649,24.66931675
GSM,60.159242833,24.625094667
GSM,60.2225432501,24.4608738541
GSM,60.1535844443,24.6647639443
GSM,60.2203214764,24.4555474524
GSM,60.1545597083,24.6699483748
GSM,60.1583252512,24.6289552811
GSM,60.1556287223,24.643171611
GSM,60.1555332,24.6438137666
GSM,60.1553045,24.6450506665
GSM,60.1730237666,24.6152394334
GSM,60.1678845445,24.6211869944
GSM,60.1936587528,24.563319785
GSM,60.1544821665,24.650366333
GSM,60.164034861,24.6340207222
GSM,60.1591865202,24.6280684192
GSM,60.1577115326,24.6269943732
GSM,60.1578539192,24.6306616566
GSM,60.1903149698,24.577192947
GSM,60.2125929015,24.4824164697
GSM,60.2246222254,24.4332067006
GSM,60.2302687593,24.4003572037
GSM,60.1539515,24.653942333
GSM,60.1575276438,24.6283876438
GSM,60.1779380555,24.6096250417
GSM,60.1542566167,24.6579121499
HSPA+,59.91289274,24.85260101
HSPA+,59.9264677,24.862592255
GSM,60.158871,24.695492167
GSM,60.158871,24.695492167
GSM,60.1582,24.6920415
GSM,60.181695167,24.824113167
GSM,60.181695167,24.824113167
GSM,60.1582,24.6920415
GSM,60.158871,24.695492167
LTE,60.1735962904,24.9493353165
LTE,60.168588965,24.924943245
LTE,60.1761006462,24.9317184213
LTE,60.169902846,24.946073968
LTE,60.16998623,24.94920291
LTE,60.16221978,24.9384553125
LTE,60.17096989,24.944087305
UMTS,60.17197025,24.94357553
LTE,60.1652621,24.9369341981
LTE,60.1670589606,24.9373970371
LTE,60.1682785,24.9242602167
LTE,60.167402465,24.93973391
LTE,60.16799277,24.93763826
LTE,60.16992259,24.9303540217
LTE,60.16573142,24.96362199
LTE,60.1670830285,24.9598866846
LTE,60.167468139,24.945882765
LTE,60.16573338,24.94214375
LTE,60.16732652,24.9446893486
LTE,60.1645667194,24.9437427775
LTE,60.1710274888,24.9400343813
LTE,60.1711087843,24.9402072871
LTE,60.1726733,24.9403890075
LTE,60.1755259795,24.9421584455
LTE,60.1691736422,24.9528761033
LTE,60.1695571863,24.9517785175
LTE,60.169021525,24.945607925
LTE,60.1690702492,24.9465938277
LTE,60.16949267,24.94544099
LTE,60.1673442623,24.9355897654
